label,message
spam,"#key < 285941 >  , please check."
spam,"[LUCK9] P100 level up bonus, claim now. https://luckys9.com/OvnLp"
spam,<#> 351651 is your Facebook code H29Q+Fsn4Sr
spam,<REAL NAME> !  Welcome to W+ Log in and Register to get your free 8888 bonus! winningplus777.com/8888WIN JegP613+
spam,"<REAL NAME> ! Ang malaking palabas sa Linggo, sumali sa W+ ngayon para makakuha ng IPHONE 14 PRO MAX at 5500! winfun777.com/WIN14MAX"
spam,<REAL NAME> ! Get your 8888 bonus right here at W+! Register now to win millions of cash! wpremyo8888.com/8888WIN
spam,<REAL NAME> ! Happy Halloween! Register now and Play to get the 8888 Bonus from W+! winningplus777.com/8888WIN JegP613+
spam,<REAL NAME> ! Padalhan ka ng 5500 at libreng SPIN na laro sa W+! Halika at manalo ng IPHONE14PROMAX ngayon sa W+ wlove14.com/14PROMAX
spam,"<REAL NAME> !Maglaro ng T1BET SPIN game at makakuha ng 3000 welcome bonus ngayon! Ngayon laro ng SPIN,
 gamet1bet.com/T1WIN"
spam,<REAL NAME> !Nagbabagang kaganapin sa Winning+ Mag rehistro at Kuhanin ang Jili Mega Jackpot at 8888 Bonus! wp4hot.com/8888BONUS
spam,"<REAL NAME> ,Congratulations on getting the JACKPOTCITY VIP bonus and promotion!

Sign up now and get 20P and 5000CASH for free! jackpotcity777.com"
spam,"<REAL NAME> ,The most reliable online casino in this country! REFER & EARN 400P for you and a friend wdito4fifa.com/7777BONUS"
spam,<REAL NAME> Alamin ang mga lupet na deals sa SBET! May 100% CASINO WELCOME BONUS + 888 libre at 3% Paymaya deposit bonus sa sbetbigcash2.com
spam,"<REAL NAME> Doblehin ang kikitain sa GoJackpot! Gamitin ang Paymaya at GCash, may 100% bonus + 3% DAILY DEPOSIT BONUS! sa betfilvips2.com"
spam,"<REAL NAME> Get into Halloween spirit with Gojackpot's Tourney! Win big - Free 4888 coins, 177 & 777 Free Bonus, 205% Deposit Bonus at gojcity1.online"
spam,"<REAL NAME> Merry Chistmas, let's play cockfight! Get your Sbet free bonus and 8888 discount bonus now! sbetsabongking.com

Sign up for an account and you'll get more offers and free prizes!

"
spam,"<REAL NAME>! Quality casino with happiness! Register now and Get your 68% LIVE CASINO WELCOME BONUS up to PHP 5,000! Register now! w78p.com/7777BONUS!"
spam,<REAL NAME>! W+ Halloween Event is Here ! Come play on W+ to win the IPHONE14 PRO MAX and the 7777 bonus!  wjackpot7.com/HALLOWEEN7777 YmnV416/
spam,"<REAL NAME>,  Win big at GoJackpot! Enjoy 100% Welcome Bonus + 3% Deposit Bonus. Claim P777 now! Play at betfilph3.com"
spam,"<REAL NAME>, All  hot games like slot machine , live casino and  more games you are looking for is in here at JACKPOT CITY! Play n??w to earn! jackpotcitytoday.com                   "
spam,"<REAL NAME>, Another week is about to start! Make it fun here at Winning Plus! Play amazing slots and claim 100%WELCOME BONUS! winplusph10.com"
