proof,Date,Time,name
"Welcome ! your have P1222 for S!ot , 
Web: 11y.life     
Good Luck!C",2022-11-12,14:02,False
"My god, at least 999P rewards waiting for you

UrI: pinaswin,com

Best Ba,raha  .r",2022-11-12,14:33,False
"DEAR VIP , No. 1 Online Sabong Site here in SBET!

Register now and Play Cockfighting and Slot Game Machine! You can claim your 100 FREE BET CREDIT and Win 88k Cash Prizes! here in sbet7now.com/SABONGNOW",2022-11-13,23:03,True
"! Today, you can win the iphone14PROMAX while earning a ton of cash prizes in W+. You can receive a 7777 Sign-up Bonus. click now! wp8luck.com/8888WIN",2022-11-14,00:07,True
"Welcome ! your have P1222 for S!ot , 
Web: great-s.life
Good Luck!U",2022-11-15,02:28,False
"Welcome ! your have P1222 for S!ot , 
Web: will-j.life
Good Luck!x",2022-11-15,06:13,False
"Hottest News! Join JB Day, Make it your day! Spin your luck here! Sign up now and get your Golden Egg! and we have Daily Deposit Bonus! antiviruspedia.net/Live",2022-11-18,01:29,False
"Sugal hindi na need pumunta CAS1NO, pIay online at manalo araw araw, upto 8888 na welcome bonus, 24 hours cash in/out.
Web: win-m.life",2022-11-18,15:26,False
Wag na masyadong mapakapagod dahil friday na! Isa sa pinaka the BE$T na gawin mamaya ay ang mag Enjoy dito! apkgametop.com/LivePH See you later my friend!,2022-11-18,19:10,False
Happy Weekend! Magrelax at Mag-Enjoy kasama ang pamilya! May Special Register B0NUS 8p CA$H Prize and chance to win of Golden Egg Draw! knetww.com/LiveAPP,2022-11-19,00:39,False
"Napaka ganda ng pasok ng Weekend! Dahil dito kay antiviruspedia.net/Live napaka daming B0nu$ naghihintay sayo, hindi lang yan dahil chance mo pang maging VIP!",2022-11-19,03:40,False
"Current users will send 10,000 USDT to experience the transaction gold.Google play or APP store search for mybitglobal to download apps",2022-11-19,11:26,False
Maglaro na at kolektahin ang mga Promotion Bonus na naghihintay sayo at ang mega jackpot x10 - x100 B3T! halina't mag laro ngayon dito! apkgametop.com/LivePH,2022-11-19,14:08,False
"Sugal hindi na need pumunta CAS1NO, pIay online at manalo araw araw, upto 8888 na welcome bonus, 24 hours cash in/out.
Web: game-j.life",2022-11-20,05:01,False
Cold Monday! This is your Lucky Day! DAhil nandit0 na si apkgametop.com/LivePH na laging nag bibigay ng premyo at B0nu$! Kaya Try m0 na dito! The Be$st dito.,2022-11-21,03:45,False
"GCash. Bet... GCash. Bet! Get FREE P1,000,000 bonus for GCASHBET! Free link http://phbetpo.shop/rH8",2022-11-21,06:19,False
Binabati kita! Mag-log in sa Lodi646 para makuha ang iyong lucky random bonus!   http://bet03.fan,2022-11-21,08:13,False
This is your LucKy day! DAhil JB Day ngayon! Mag $pin at makakuha ng maraming PRIZES! Wag mag alinlangan siguradong bubuhos ng swerte! antiviruspedia.net/Live,2022-11-22,02:23,False
Wag ng tumingin pa sa iba. Dahil ang hinahanap m0 at hinahanap ng iba ay nandit0 lang kay playbingo.com.ph/LegitAPP subukan m0 na walang mawawala sayo,2022-11-22,05:34,False
"DEAR VIP, , Experience the Best Cockfighting here in SBET. Join and Register now to gain up 88kPHP & 100 + Fighting bonuses, and got a chance to win worth million of cash! sbetcorkfight.com/SABONGNOW",2022-11-22,15:36,True
"Hi ,  Experience the highest-winning JILI SLOTS game now on Google APP! Redeem FREE PHP33 and win your Jackpot. Download now at w98club.com/PusoySabong  or search Winner Club at Play Store.

Redeem code : <8833>
(Please go to Deposit/BUY, then enter Redeem code.",2022-11-22,17:40,True
This is your LucKy day! DAhil JB Day ngayon! Mag $pin at makakuha ng maraming PRIZES! Wag mag alinlangan siguradong bubuhos ng swerte! barbadostelecom.com/Live,2022-11-23,02:01,False
"Go-Lucky ! Baraha prepare P1399 for you, today waiting for you.
UrL: card-c.life

Let's go  .",2022-11-23,04:52,False
"O.  Thanks for your trust in Smart! you will have P1555 for slot , 
Web: will-s.life",2022-11-23,13:46,False
"Lazada: Good benefits, If you play in BARAHA, you will have 50% change get free Iphone14/XiaoMI/1999P.
web: baraha-k.site
Claim now !a",2022-11-24,11:19,False
Kumusta Lodi! Nakapag register kana ba? Mag Register na kung hindi pa! And get your 120% Welcome B0NU$ FREEPLAY! Sali na! appraisalassociatesark.com/Join,2022-11-25,03:55,False
"y!  [Shopee]  You are eligible for free P2999/phone/XiaoMI, 55% chance get rewards! 
web: 11g.life",2022-11-25,17:55,False
"[Winner777] Free P300 daily login bonus, claim now. https://winner777.pro/sm",2022-11-26,08:31,False
"V!  [Shopee] You are eligible for free P2999/IPHONE/XiaoMI, 55% chance get rewards! 
web: luckypha.live",2022-11-26,14:53,False
"Ang Smart ay nagiimbita para kunin ang inyong 1,888 bonus. Ito ay matatanggap sa inyOng Acc0unt. URL: ww3467.pw/3tZBIuD",2022-11-27,05:26,False
"Ang Smart ay nagiimbita para kunin ang inyong 1,888 bonus. Ito ay matatanggap sa inyOng Acc0unt. URL: ww3467.pw/3U9RA8v",2022-11-27,05:45,False
"z!  Last 3 days, play online BARA-HA, you will have 80% change get XiaoMI/8999P.
web: baraha-e.site
Claim now !",2022-11-28,01:43,False
"ESugal hindi na need pumunta CASlNO, pIay online at manalo araw araw, upto 8888 na welcome B0NUS.
Web: pinas-b.life",2022-11-29,07:08,False
", You don't want to miss out our PLATFORM W+!! Get 68% Live Casino WELCOME BONUS UP TO PHP 6,888! PLAY NOW wpluswin.com/7777FIFA",2022-11-29,09:53,True
"f!  Last 3 days, play online BARA-HA, you will have 80% change get XiaoMI/8999P.
web: panalot.live
Claim now !",2022-11-29,15:15,False
Hi ! Be among the champions @ Online sabong & slot machine game! Register to acquire your 88kPHP & 100+ FREE Tokens here. 88ksabong.com/SABONGFIGHT,2022-11-29,21:13,True
"yLast 3 days, play online BARA-HA,you will have 30% change get XiaoMI/8999P.
web: baraha-p.life",2022-12-02,10:20,False
