iter	Passed	Remaining
0	3	3157
1	7	3747
2	12	4107
3	16	4156
4	20	4170
5	25	4238
6	30	4282
7	34	4280
8	38	4263
9	43	4303
10	47	4285
11	51	4274
12	56	4268
13	61	4307
14	65	4300
15	69	4302
16	74	4335
17	79	4333
18	83	4322
19	88	4334
20	93	4349
21	97	4342
22	102	4336
23	107	4368
24	111	4363
25	116	4354
26	120	4347
27	126	4392
28	130	4385
29	135	4374
30	141	4433
31	146	4425
32	151	4434
33	157	4473
34	162	4476
35	167	4487
36	173	4509
37	178	4513
38	183	4513
39	188	4531
40	193	4533
41	198	4532
42	203	4536
43	208	4540
44	214	4547
45	219	4546
46	223	4536
47	228	4525
48	232	4512
49	237	4518
50	242	4507
51	246	4498
52	251	4499
53	256	4491
54	260	4480
55	265	4471
56	270	4475
57	274	4464
58	279	4454
59	284	4451
60	288	4443
61	293	4434
62	297	4426
63	302	4426
64	307	4419
65	311	4410
66	316	4405
67	321	4401
68	326	4399
69	330	4391
70	335	4392
71	340	4384
72	344	4376
73	350	4382
74	354	4375
75	358	4358
76	363	4351
77	368	4357
78	373	4350
79	377	4343
80	382	4341
81	386	4324
82	390	4317
83	394	4299
84	400	4307
85	404	4302
86	409	4295
87	414	4294
88	418	4279
89	421	4263
90	426	4256
91	431	4255
92	435	4245
93	439	4232
94	443	4221
95	447	4215
96	451	4206
97	455	4196
98	460	4187
99	464	4183
100	468	4173
101	473	4165
102	477	4158
103	481	4146
104	485	4134
105	488	4123
106	492	4114
107	497	4105
108	500	4091
109	504	4077
110	507	4067
111	512	4059
112	515	4047
113	519	4034
114	522	4022
115	526	4015
116	530	4004
117	534	3994
118	538	3984
119	542	3980
120	546	3971
121	550	3961
122	554	3953
123	559	3950
124	563	3941
125	566	3931
126	570	3922
127	575	3920
128	579	3912
129	583	3903
130	587	3894
131	591	3890
132	595	3882
133	599	3874
134	603	3865
135	608	3864
136	612	3857
137	616	3848
138	620	3845
139	626	3848
140	631	3844
141	634	3835
142	639	3835
143	644	3830
144	648	3826
145	653	3822
146	658	3821
147	663	3818
148	666	3809
149	672	3811
150	676	3804
151	680	3798
152	684	3790
153	689	3786
154	693	3778
155	696	3770
156	700	3763
157	705	3760
158	709	3753
159	713	3747
160	717	3740
161	722	3737
162	726	3729
163	730	3722
164	734	3717
165	738	3712
166	742	3705
167	746	3699
168	751	3693
169	755	3689
170	759	3682
171	763	3675
172	768	3673
173	772	3666
174	776	3659
175	779	3651
176	784	3649
177	790	3648
178	794	3642
179	798	3635
180	802	3632
181	806	3625
182	810	3618
183	814	3611
184	818	3606
185	822	3600
186	826	3593
187	830	3587
188	835	3585
189	839	3580
190	844	3575
191	848	3572
192	853	3568
193	857	3562
194	861	3554
195	865	3549
196	869	3543
197	873	3536
198	876	3529
199	881	3524
200	884	3517
201	888	3510
202	892	3503
203	896	3498
204	900	3492
205	905	3488
206	908	3481
207	913	3476
208	916	3470
209	921	3464
210	924	3458
211	929	3455
212	933	3448
213	937	3442
214	941	3435
215	945	3430
216	949	3424
217	952	3418
218	957	3415
219	962	3413
220	966	3408
221	972	3406
222	977	3405
223	983	3405
224	987	3399
225	991	3396
226	998	3398
